Probe-gallery Pair ID,Probe_img_path,Gallery_img_path,Probe Age,Gallery Age,Probe Gender,Gallery Gender,Probe Weight,Gallery Weight,Comparison Type,Original Score,Decision Threshold,Original Decision,Decision Type,Face Beautification or Face Coding,Face Beautification Tool,Filtred_probe_img_path,Score After Beautification,Decision After Beautification,Decision Type Beautification,Face Coding Tool,PSNR-YUV,MS-SSIM,Decoded_probe_img_path,Score After Coding,Decision After Coding,Decision Type Coding,Face Verification Tool,Face Verification Explainability Tool,Similar_region_HM_path
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,69,72,Genuine,0.4827,0.835,YES,True Positive,Select,Select,None,None,None,None,Select,None,None,None,None,None,None,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Original/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,69,72,Genuine,0.4827,0.835,YES,True Positive,Face Beautification,Select,None,None,None,None,Select,None,None,None,None,None,None,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Original/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,69,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,Select,None,None,None,None,None,None,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Original/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,69,72,Genuine,0.4827,0.835,YES,True Positive,Face Beautification,Thinner Face,"""DATASET/Beautification/Filter_1_Thinner_face/Ashton_Kutcher_0003.jpg""",0.4609,YES,True Positive,Select,None,None,None,None,None,None,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Beautification/Filter_1_Thinner_face/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",22,23,Man,Man,67,72,Genuine,0.4827,0.835,YES,True Positive,Face Beautification,Relax You Pretty,"""DATASET/Beautification/Filter_2_Relax_You_Pretty/Ashton_Kutcher_0003.jpg""",0.6037,YES,True Positive,Select,None,None,None,None,None,None,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Beautification/Filter_2_Relax_You_Pretty/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",22,23,Man,Man,61,72,Genuine,0.4827,0.835,YES,True Positive,Face Beautification,Glam Grain,"""DATASET/Beautification/Filter_3_Glam_grain/Ashton_Kutcher_0003.jpg""",0.5187,YES,True Positive,Select,None,None,None,None,None,None,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Beautification/Filter_3_Glam_grain/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",27,23,Man,Man,79,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG at 10 QF,30.71,0.9461,"""DATASET/Coding/JPEG/JPEG_Q=10/Ashton_Kutcher_0003.png""",0.6348,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG/JPEG_Q=10/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",23,23,Man,Man,79,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG at 25 QF,34.62,0.9784,"""DATASET/Coding/JPEG/JPEG_Q=25/Ashton_Kutcher_0003.png""",0.4809,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG/JPEG_Q=25/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",23,23,Man,Man,66,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG at 45 QF,38.13,0.9892,"""DATASET/Coding/JPEG/JPEG_Q=45/Ashton_Kutcher_0003.png""",0.4555,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG/JPEG_Q=45/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,72,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG at 75 QF,45.13,0.998,"""DATASET/Coding/JPEG/JPEG_Q=75/Ashton_Kutcher_0003.png""",0.4387,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG/JPEG_Q=75/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",18,23,Man,Man,66,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG AI at 0.06 bpp,33.23,0.9696,"""DATASET/Coding/JPEG_AI/JPEG_AI_BR=0.06/Ashton_Kutcher_0003.png""",0.7522,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG_AI/JPEG_AI_BR=0.06/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",20,23,Man,Man,64,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG AI at 0.12 bpp,36.03,0.9857,"""DATASET/Coding/JPEG_AI/JPEG_AI_BR=0.12/Ashton_Kutcher_0003.png""",0.5812,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG_AI/JPEG_AI_BR=0.12/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,63,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG AI at 0.25 bpp,37.66,0.9912,"""DATASET/Coding/JPEG_AI/JPEG_AI_BR=0.25/Ashton_Kutcher_0003.png""",0.4682,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG_AI/JPEG_AI_BR=0.25/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
"""1""","""DATASET/Original/Probe/Ashton_Kutcher_0003.jpg""","""DATASET/Original/Gallery/Ashton_Kutcher_0001.jpg""",24,23,Man,Man,64,72,Genuine,0.4827,0.835,YES,True Positive,Face Coding,Select,None,None,None,None,JPEG AI at 0.50 bpp,39.86,0.9961,"""DATASET/Coding/JPEG_AI/JPEG_AI_BR=0.50/Ashton_Kutcher_0003.png""",0.4645,YES,True Positive,ArcFace,FV_RISE (IT),"""DATASET/Explainability/FR_RISE/Coding/JPEG_AI/JPEG_AI_BR=0.50/Ashton_Kutcher_0003_Ashton_Kutcher_0001.png"""
